raw_title,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
THE REPUBLIC,8.719205177651038e-05,5.895709271308948e-05,6.32615248806851e-05,9.5759515378371e-05,6.611679666585448e-05,7.867418226719437e-05,2.9865541539330143e-05,9.205214387941516e-05,-2.495304117021365e-05
CRITIAS,8.927121245601883e-05,0.00010563379618884117,9.239418309711718e-05,9.684538285912357e-05,0.0001356789311287764,7.714951122889216e-05,6.437547906210027e-05,0.0001539101823751361,4.2304985000526016e-05
TIMAEUS,0.00010430376048146161,0.00010193907630437426,8.72729651587405e-05,0.0001199171053369502,0.00010648700960772832,0.00011397996383648072,5.774011078705568e-05,0.00018405294341573492,-2.837099059878417e-06
LYSIS,7.059597136280167e-05,0.0001012736202280782,5.055132510551667e-05,8.53328449326214e-05,0.00011982955651335884,9.339942738864073e-05,3.258702075628088e-05,0.0001252258230354229,-6.527686796630105e-07
CHARMIDES,4.63065226151704e-05,5.482280997564631e-05,3.1060383476733465e-05,5.725019786563903e-05,6.694945827186222e-05,5.52998202942747e-05,3.0426801068277694e-05,9.647241431774723e-05,3.7179363277305885e-05
LACHES,7.191904233688212e-05,8.27292142885483e-05,3.8747163997339356e-05,0.00010896150535423389,9.400753557938204e-05,6.423807479348092e-05,6.340166621745117e-05,0.00013131199900212395,7.504846576037922e-05
PROTAGORAS,4.0722422675878145e-05,3.795088575411195e-05,3.107937986558473e-05,5.234234687701019e-05,5.4289503172173356e-05,3.7436882688616154e-05,2.373393798330065e-05,7.540923276042065e-05,1.880274037708388e-05
EUTHYDEMUS,5.1219978307478185e-05,5.630181075539431e-05,2.7827193410877815e-05,5.085549264029176e-05,6.277927609520454e-05,4.220147134589528e-05,3.3337680449165285e-05,7.533389584127767e-05,9.259694541334578e-06
SYMPOSIUM,4.0311748174444755e-05,4.734800678926924e-05,3.48448533662348e-05,4.4398613798061325e-05,7.490026408687835e-05,3.738328041328382e-05,2.399784865948971e-05,7.482314027433792e-05,3.208082822958563e-05
CRATYLUS,3.6613678447232974e-05,3.591227447208493e-05,2.3058058790922978e-05,4.6316133287215515e-05,3.757444308368141e-05,3.661514408084594e-05,2.019922783240019e-05,6.14393302688285e-05,6.076318478545056e-06
ION,0.00012140923479547418,0.00017249356200241787,5.400135631409033e-05,0.00013383694647114668,0.00018546535760482192,0.00014285879386199496,9.584322024485237e-05,0.00019535939430895168,5.746157228900478e-05
PHAEDRUS,4.227418154248347e-05,5.5111548241443774e-05,2.967576162974822e-05,4.866067061248719e-05,6.78494402327942e-05,4.490705212455389e-05,2.8174322162138792e-05,6.82396862711162e-05,2.4631878310581185e-05
EUTHYPHRO,0.00019389001122411775,7.211212918395612e-05,0.00020021651779313768,0.00021219624361512297,0.00010875489511689948,0.00022762631935953147,7.63020933707717e-05,0.00020429455150546827,-4.204100137377479e-05
MENO,7.185308277467881e-05,4.1959684187393124e-05,7.922389572192228e-05,5.85691380698666e-05,5.2429504765686343e-05,5.1482882053802976e-05,3.699922872398888e-05,0.00010119078345066693,-3.132564050952675e-05
APOLOGY,0.00011901572767318324,7.479886126514756e-05,6.585369626921052e-05,0.00011882520232074635,5.590557989882e-05,9.556741725203814e-05,4.754125594788691e-05,8.878846227836642e-05,-7.028264726257998e-05
CRITO,0.00022076462611752748,9.823940580153049e-05,0.00011875817437325019,0.0002082107403403755,8.575678478411761e-05,0.00020502533624877517,6.028468936367472e-05,0.00011955987397600405,-0.00014673183342495103
PHAEDO,4.8393470357561936e-05,3.947657653313442e-05,3.4214438109248005e-05,5.792595619389464e-05,4.879463325548546e-05,5.4813081706380945e-05,2.1327191977483695e-05,5.8556940593225635e-05,-1.4054628694827865e-05
GORGIAS,5.350704008720064e-05,3.142573317413265e-05,4.036701395908524e-05,5.5690997454660104e-05,3.434199740908505e-05,5.2129434114067856e-05,1.5621061821504115e-05,4.555861749646294e-05,-2.647429073415654e-05
LESSER HIPPIAS,0.00015444795041449715,7.554606082317138e-05,0.00010735680314090074,9.601530123818213e-05,7.755061417214516e-05,0.00010737969054326302,5.472472959337994e-05,0.00014674558507862722,-3.660802895506793e-05
ALCIBIADES I,5.182725572053682e-05,5.299555663675773e-05,3.637798696108663e-05,5.803589893675277e-05,7.846965548751965e-05,4.7207981712737893e-05,2.0388404335891858e-05,0.00012125502553475797,5.096081813968627e-05
ALCIBIADES II,0.00016709156500459543,0.0001279906288303154,9.328320183906256e-05,0.00019527744100757537,0.00010346273984727228,0.00014436262079152803,4.597894890998503e-05,0.0001425426680040675,-8.854052236291389e-05
ERYXIAS,0.00012115886090320271,0.00012412877228700538,0.00012257694181528383,0.00010565000242105382,0.0001397207044326158,0.00010693531222520976,6.914343912032586e-05,0.00018607690275411248,4.073171646627664e-05
MENEXENUS,0.00010905644677869363,0.00012635968526131562,7.562217732582787e-05,0.00013234664213203126,0.00015106552518573591,0.000114600533885065,5.269506392337829e-05,0.00017905679639410805,3.4842610111094536e-05
PARMENIDES,3.681579665791865e-05,5.0473470295083085e-05,1.4728110622027448e-05,4.591481850497147e-05,6.58670636708951e-05,5.0571359181948365e-05,4.9210536832124765e-05,0.00011942146718968049,4.607087730162179e-05
THEAETETUS,2.8870952824267237e-05,3.360249797237631e-05,2.4482167813821992e-05,3.010188981054201e-05,3.367478536719867e-05,3.0635509808094815e-05,1.4068362567040513e-05,4.811016593362086e-05,-3.87156830123842e-06
SOPHIST,6.239047471605953e-05,4.694571195137142e-05,3.088533444637562e-05,0.00012743566450544458,3.835005174022082e-05,4.114429227921814e-05,1.9356006891667493e-05,7.16607664161291e-05,-7.86644906170905e-05
STATESMAN,4.384424786707524e-05,4.815952303820787e-05,2.3891611001131324e-05,8.429146380604637e-05,5.106906568696047e-05,4.4466986987997635e-05,3.29193867482411e-05,6.185650820223317e-05,-1.3251604141256142e-05
PHILEBUS,4.529701870672833e-05,4.0053891554315953e-05,3.198674018105476e-05,4.7599464196234846e-05,5.565246623921371e-05,4.565722180203719e-05,2.9796559385999863e-05,6.25125302256645e-05,4.472733755476948e-06
LAWS,9.491842170684768e-05,6.95953739319497e-05,5.881832077523027e-05,0.00010991019697163832,8.003281959155132e-05,8.982480387347522e-05,3.281102293384949e-05,0.00010191739152718748,-2.2939647119776163e-05
