term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
quick,0.0006270479961542505,-0.002297712177841387,-0.014586610508657907,0.0015079311697860254,-0.0013182661657950637,-0.011942376086101577,-0.008995895908778462,0.009391296862986957,-0.00020884968416730386,-0.005779642805962417
satisfy,-0.00689077781512434,0.0050673695018698325,-0.0043964179326198005,0.00915472009120701,0.008165662953203114,0.005746054751400581,0.014790530694624507,-0.011951014810970093,-0.02490773541498107,-0.003706980945849453
party,-0.03628603407829521,-0.03708630282698894,-0.005985715466742092,0.009546038887271097,-0.005234995339106017,0.011354856970729549,0.040679844788492056,-0.0038283599729441453,-0.002284525264039135,0.003045508111214054
strike,-0.005063742671920668,0.002493242959350883,0.014619799107693676,-0.007045745313647394,0.000861643087802508,-0.015614771289416317,-0.0009499413214625538,-0.026655814214299158,-0.010213209220446924,0.002960993736574158
wine,-0.02850655151772863,0.002563625056513419,-0.0021546443633848056,-0.0006792758424305559,-0.13757828348853868,-0.01563662854787612,-0.0455501969364024,0.05431132784348219,-0.01143205121139236,0.047320913018297654
innumerable,-0.018605254445688335,-0.019183872709197525,-0.015143770262304485,-0.007046245090542889,-0.008399228630296882,-0.005961036736425562,-0.011606895130705758,0.018221186829096764,-0.010857379506489524,0.0016552185779728987
witness,-0.04013057261025832,-0.032553782961970756,0.010488092704257934,-0.05268752660288348,0.030374125517234077,-0.009223078813958008,0.0468405645553685,-0.03349779984172693,-0.023361584948047135,0.0023568953763458203
ruin,-0.022967165764622675,-0.013213795237677017,-0.021475663946429413,0.07184300880071137,0.0008648065631082502,0.032406761411679696,-0.011115841614290578,-0.029860933323536204,0.012099408615354537,0.015113049889222463
obtain,-0.03296462411680702,-0.0014848745975764993,0.02338697310385149,0.004571870476268253,0.019884623418118363,-0.001008883013739359,0.015417789945530225,0.06446559132012089,-0.019449762461549083,-0.04638923702810222
offspring,-0.023163692175991138,-0.010171271181170283,0.001379897363485899,-0.018478765144115672,-0.03479225377090176,0.012144837304246092,0.044949594384872255,-0.0221538541328951,0.006999532509036804,0.007377409972805879
early,0.019318886219053016,0.004154520908667751,-0.03245131999377755,-0.00010742339005709312,0.019677774424087913,-0.025210123001499413,0.05711399835317679,-0.023635458204870508,-0.051864780166626656,0.010875754126323744
preserve,-0.021583656666305417,-0.019223132557377974,-0.01398999861738169,-0.006274805828265451,-0.03383773066225129,-0.0038315838922097223,0.01990457253930028,-0.0039004893819958864,-0.0029023776862386807,0.006918740364122744
touch,0.0064192217833267725,0.02335721405221086,0.0027802650295667003,-0.020041331408907292,-0.029477084072580963,0.05048202395294251,0.020727942789537587,0.03069920685312048,0.04624286881937427,-0.058780398833618575
flute,-0.020192512209023874,0.05445031873387506,0.030623726562039728,-0.010100822141143606,-0.025255207487886684,-0.04163065737889926,-0.020905345382759025,-0.012133010876956396,0.012934334362820009,-0.025941319227283967
impression,0.008721802445582726,0.01142896856052793,-0.02133328713337874,-0.013380778021223366,-0.0006886989365845197,-0.0007036680397629058,-0.006984151079384299,-0.022239433519385787,0.01062479271196203,-0.002575747756888347
nonsense,-0.006327451694108189,0.033962579888915455,0.0018585704958493554,-0.031125959288113694,0.005540868444393443,-0.0033329839089479008,-0.01738869101053883,-0.0273656702007744,0.009251904979925552,-0.03049799649592047
skilful,-0.011876485501331418,0.04811225766408422,0.017744673816570838,-0.009572712047201393,-0.00019683594047215092,-0.04119672991465932,-0.032731685806912936,0.020444030814802006,0.0032388388219556086,-0.02272018619323024
attribute,0.03045671070059422,0.013576016519510561,-0.022245885134059132,-0.04324461214255911,-0.006279868587566073,0.05334151086220142,-0.029348499196410915,0.01795058431753377,0.03247122384398883,0.007493079742326228
penalty,-0.10066418057754492,-0.10628132291276614,0.02362622503715651,-0.12930887295006,0.09198406953850352,-0.01888277556086576,0.06111841994152073,-0.059438800459488524,-0.020081912883681205,0.028752880357086646
hate,-0.008993194272831843,0.01607144445281721,0.009498983395058195,-0.005644652146201705,0.02137479752854371,0.003759531281376738,-0.004385055573766117,0.012254527316071323,0.028476317210529546,0.03839392852454074
dwell,-0.0016362970316857973,-0.016106597754939625,-0.002951262042736579,0.011695956122711725,-0.014612305055893726,0.01289953804967589,0.020111351136392175,-0.03235845431783005,0.0020637767229736382,2.3593056912574184e-05
everybody,-0.007119887055099463,0.015576682320381341,0.014245606420271437,0.005828691450244805,-0.004771797382774556,0.021232460017633473,-0.0110489896146784,-0.0002222868667190181,0.011464643635570211,-0.005078922677839548
compel,-0.023777928389613387,-0.019519995424172796,-0.02620667828791749,-0.014797105404037086,-0.025100356732549595,-0.019586162380108737,0.005204013345909905,0.011610764890724823,-0.029971870949876037,0.01580434669500108
slight,-0.005337167533703868,0.003343142782568261,-0.02639423805483275,-0.0026443599061265516,-0.02193634502519201,-0.0018511928087054132,-0.02489977491446534,-0.008233830274211765,0.008155271392188773,-0.026671818232102518
labour,-0.008457400127743651,-0.009867077957093809,-0.017667292992261618,-0.002388324237296711,-0.0057938850358162704,0.013925478320645203,0.0108378484969646,-0.0023995966264972243,-0.013917822726071394,0.013169115144429117
behold,0.010757286641583375,0.03220648409346823,-0.023121153448550535,-0.0007358254060719386,-0.026311717114269058,0.0041020849841765,0.0492542136985605,-0.0015388471018864605,-0.03626053183380962,0.010245757986354416
reach,0.015899572134825783,0.004261444801210631,-0.012837285970499606,-0.012379385455393284,-0.013985963740525326,0.007098204719567749,0.01242178693643142,-0.011056583749094417,-0.024677463311258974,-0.017380470708799195
infinite,0.08091996371291044,0.006348651275656037,-0.08136409872538804,0.0051247852325470205,0.02077774439505334,0.031201864509170656,0.04853913962637962,-0.014298156727495735,-0.001084735607994991,-0.04119736375149441
reference,-0.0005853251733493681,0.011239692129850619,-0.029898640617478295,-0.004238989357382594,-0.003561523096494379,0.009062276397536696,-0.02602835968434874,-0.007636203126884182,0.034286086048020414,-0.02452195734927784
holy,-0.03368591415885519,-0.003737315345111353,0.008147915366343008,-0.06025839599822651,0.07937163769318231,0.018292238729739785,-0.08351582306453612,0.02344021735929002,0.15715342035429736,0.10533264245873492
miserable,-0.03359970787052986,0.0513159657688175,0.0616993539687207,0.040103705734052274,0.023570145518079604,0.05782662791401143,-0.014706726252181291,-0.07365622501263147,-0.07808816661049589,0.029914641352381782
silence,-0.010177979787410293,0.010351017041366466,0.01744311061616801,-0.01731948400742913,-0.008363572215079888,0.012231432099906648,-0.0014339812913963701,-0.014646455123019077,-0.006121629398443622,-0.0019489747789575296
create,-0.00021527621654181435,-0.011680248447978173,-0.01642619684804035,0.0040550317143705,-0.009604958219752723,0.0009429637883587601,-0.003962380067690993,-0.012806615838104303,0.0012591754331824096,0.015196079877982854
singular,0.023149724771121163,0.002175190701419945,-0.008398647858794794,-0.02113600341839014,0.0027497223975828065,-0.003318589389993798,-0.010496762609035412,-0.013188870364320352,-8.118842212025071e-05,-0.02448773471838623
