topic_id,0,1,2,3,4,5,6,7,8,doc_weight_sum,label,term_freq,ALCIBIADES I,ALCIBIADES II,APOLOGY,CHARMIDES,CRATYLUS,CRITIAS,CRITO,ERYXIAS,EUTHYDEMUS,EUTHYPHRO,GORGIAS,ION,LACHES,LAWS,LESSER HIPPIAS,LYSIS,MENEXENUS,MENO,PARMENIDES,PHAEDO,PHAEDRUS,PHILEBUS,PROTAGORAS,SOPHIST,STATESMAN,SYMPOSIUM,THE REPUBLIC,THEAETETUS,TIMAEUS,title,short_label,p
T00,men,man,life,death,truth,gods,pleasure,way,music,2.848788898374654,"T00 men, man, life, death, truth, gods, pleasure, way, music",0.03193079701223531,2.4557957263329526e-05,6.868132004155382e-05,0.999397208114005,2.9239766527085785e-05,1.3912075945248828e-05,3.993610296889569e-05,0.9986896551545554,5.192108094814603e-05,2.3277467855574195e-05,5.149330714938707e-05,9.379103582751839e-06,6.605019951375466e-05,3.2530904989393715e-05,0.0582620659633435,6.501950711731661e-05,3.742515023189732e-05,4.826254901464998e-05,2.6001040447228907e-05,2.0764119823082967e-05,1.1128422184858698e-05,1.3365410583067442e-05,1.2690355574829282e-05,1.435544105672089e-05,1.548946744022937e-05,1.2919896901333984e-05,1.4463407901344202e-05,0.014989862661954952,1.073191693133844e-05,0.0001181276193037378,APOLOGY,T00\nman life death\ntruth gods pleasure way,0.04225352112676056
T01,taste,eye ear,reach,strike,ability,praise,pray,praises censures,praises,0.0023062407892779756,"T01 taste, eye ear, reach, strike, ability, praise, pray, praises censures, praises",0.0016113178969090164,2.4557956778014413e-05,6.868131868136904e-05,3.172588832488503e-05,2.923976608189222e-05,1.3912075681697937e-05,3.993610223644887e-05,6.896551724140544e-05,5.192107995850005e-05,2.3277467411566853e-05,5.149330587028187e-05,9.379103357726157e-06,6.605019815062116e-05,3.2530904359158376e-05,2.4599975394504873e-05,6.501950585178846e-05,3.7425149700605876e-05,4.826254826255759e-05,2.6001040041613787e-05,2.07641196013358e-05,1.1128421989767508e-05,1.3365410318107633e-05,1.2690355329955394e-05,1.4355440712044751e-05,1.5489467162345554e-05,1.2919896640835599e-05,1.4463407578833116e-05,2.517327784404189e-05,1.0731916720337844e-05,0.00011812761775747537,TIMAEUS,T01\neye ear reach strike\nability praise pray praises censures,
T02,soul,body,man,life,things,nature,death,time,way,3.440317776692974,"T02 soul, body, man, life, things, nature, death, time, way",0.07528372620179535,2.455795727680155e-05,6.868132011927362e-05,3.172588889833424e-05,2.923976670280899e-05,1.3912075961414862e-05,3.993610298732518e-05,6.896551846931022e-05,5.192108093825044e-05,2.3277467870261625e-05,5.149330721152036e-05,9.379103575852052e-06,6.605019966834787e-05,3.253090492207306e-05,0.013947366762436365,6.50195072405343e-05,3.742515030651108e-05,4.826254894729826e-05,2.6001040570385932e-05,2.076411988030439e-05,0.9997885599777059,0.2770373139468073,1.2690355651132922e-05,1.4355441074396905e-05,1.5489467529737384e-05,1.291989693579195e-05,1.4463407888144869e-05,0.14826144778722916,1.0731916982040268e-05,0.06408990377491562,PHAEDO,T02\nbody man life\nthings nature death time,0.056338028169014086
T03,pleasure,things,true,pleasures,time,parts,nature,certainly,yes,2.6426502730593233,"T03 pleasure, things, true, pleasures, time, parts, nature, certainly, yes",0.06650886619685681,2.4557957185458443e-05,6.868131996580411e-05,3.172588885311494e-05,2.923976681318853e-05,1.391207593707418e-05,3.99361028266308e-05,6.896551851780134e-05,5.1921080963090907e-05,2.3277467885619874e-05,5.1493307235785536e-05,9.379103580433926e-06,6.605019932868936e-05,3.253090493813654e-05,2.4599975920363872e-05,6.501950711629294e-05,3.742515030514924e-05,4.826254885980015e-05,2.600104050238923e-05,0.9996054817233117,1.112842394763293e-05,1.3365410632322324e-05,0.9997588832451552,0.08985196648444019,0.14892332120113247,1.2919896997017068e-05,1.4463407881283125e-05,0.02203113867101695,0.15572831612874297,0.003429432721881705,PHILEBUS,T03\nthings true pleasures\ntime parts nature certainly,0.028169014084507043
T04,yes,man,men,knowledge,things,way,true,sort,nature,11.018452867771375,"T04 yes, man, men, knowledge, things, way, true, sort, nature",0.1788813724369109,2.4557957360562823e-05,6.868132044331835e-05,3.1725888932254485e-05,0.9937072878544153,1.3912075943364354e-05,3.9936103117754846e-05,6.896551865724649e-05,5.1921081173167295e-05,0.6174894113252583,5.149330696891908e-05,9.379103578884439e-06,6.605019956363492e-05,3.2530905021250834e-05,0.24967530651151779,6.501950702878159e-05,3.7425150304954404e-05,4.826254979597824e-05,2.6001040631218358e-05,2.0764119936458293e-05,1.1128422207467182e-05,1.3365410646057258e-05,1.2690355600891378e-05,0.14840460379242915,1.5489467507268694e-05,1.2919896983327881e-05,0.011475227251310163,0.623148016435415,0.01812525471576551,0.00011812761980351071,CHARMIDES,T04\nman men knowledge\nthings way true sort,0.23943661971830985
T05,nature,world,ideas,mind,philosopher,philosophy,influence,knowledge,principle,1.0404376348162452,"T05 nature, world, ideas, mind, philosopher, philosophy, influence, knowledge, principle",0.00815266013001455,2.4557957067586663e-05,6.868131961732542e-05,3.172588872668155e-05,2.9239766519292438e-05,1.391207586590274e-05,3.993610278733281e-05,6.896551810381354e-05,5.1921080532830296e-05,2.327746771883408e-05,5.1493307044895385e-05,9.379103525087472e-06,6.605019904197881e-05,3.25309047426266e-05,2.4599975764583793e-05,6.501950690883368e-05,3.742515007789361e-05,4.826254879240929e-05,2.600104050537661e-05,2.0764119833413723e-05,1.1128422158285133e-05,1.3365410538259236e-05,1.2690355540000494e-05,1.4355441005191762e-05,1.5489467551078817e-05,1.2919896853346437e-05,1.4463407756477395e-05,2.5173278285849023e-05,1.0731916978466315e-05,0.12988455186855236,TIMAEUS,T05\nworld ideas mind\nphilosopher philosophy influence knowledge,0.014084507042253521
T06,taste,eye ear,reach,strike,ability,praise,pray,praises censures,praises,0.0023062407892779756,"T06 taste, eye ear, reach, strike, ability, praise, pray, praises censures, praises",0.0016113178969090164,2.4557956778014413e-05,6.868131868136904e-05,3.172588832488503e-05,2.923976608189222e-05,1.3912075681697937e-05,3.993610223644887e-05,6.896551724140544e-05,5.192107995850005e-05,2.3277467411566853e-05,5.149330587028187e-05,9.379103357726157e-06,6.605019815062116e-05,3.2530904359158376e-05,2.4599975394504873e-05,6.501950585178846e-05,3.7425149700605876e-05,4.826254826255759e-05,2.6001040041613787e-05,2.07641196013358e-05,1.1128421989767508e-05,1.3365410318107633e-05,1.2690355329955394e-05,1.4355440712044751e-05,1.5489467162345554e-05,1.2919896640835599e-05,1.4463407578833116e-05,2.517327784404189e-05,1.0731916720337844e-05,0.00011812761775747537,TIMAEUS,T06\neye ear reach strike\nability praise pray praises censures,
T07,man,virtue,men,knowledge,justice,things,art,question,opinion,5.775414397587718,"T07 man, virtue, men, knowledge, justice, things, art, question, opinion",0.08445567655409608,0.3018540813584697,0.08109117811753504,3.172588896246172e-05,0.005766396348359855,1.3912075949868851e-05,3.993610288480837e-05,6.896551872777616e-05,0.17263598746737815,0.24238485330908377,0.34244594671967454,9.379103586847829e-06,6.605019988586735e-05,0.9993819128089472,0.012190459415355506,0.9987646293704705,3.7425150434705425e-05,4.8262550344034484e-05,0.9995059802320516,2.0764119889528094e-05,1.112842221069395e-05,1.3365410622781889e-05,1.2690355598795988e-05,0.6970047324635231,1.548946751361225e-05,1.2919896951159433e-05,1.4463407895384133e-05,0.06760675414159008,0.11086414636105867,0.00011812761994245661,MENO,T07\nvirtue men knowledge\njustice things art question,0.11267605633802817
T08,friend,yes,good,friendship,evil,love,lover,son,friend friend,1.0516056158142697,"T08 friend, yes, good, friendship, evil, love, lover, son, friend friend",0.0129365320569159,0.0422908520359066,6.868131998212747e-05,3.172588890209972e-05,2.923976675793184e-05,1.3912075904692992e-05,3.993610285778809e-05,6.896551862936047e-05,5.192108103975642e-05,2.327746790935975e-05,5.14933073629381e-05,9.379103549823204e-06,6.6050199809815e-05,3.253090491534267e-05,2.4599975806342806e-05,6.501950674541453e-05,0.9992889221479846,4.826254891594529e-05,2.600104039429424e-05,2.0764119903744915e-05,1.112842216350451e-05,1.3365410592434874e-05,1.2690355560704183e-05,1.4355441050838882e-05,1.548946739266395e-05,1.2919896938496306e-05,1.4463407880342357e-05,2.5173278316222127e-05,1.0731916917575083e-05,0.001090825608182933,LYSIS,T08\nyes good friendship\nevil love lover son,0.014084507042253521
T09,man,art,justice,injustice,men,rhetoric,evil,good,friend,1.6772501362734513,"T09 man, art, justice, injustice, men, rhetoric, evil, good, friend",0.047669562350712735,2.4557957366327767e-05,6.86813202500613e-05,3.1725888867214105e-05,2.923976681288293e-05,1.3912075934753326e-05,3.9936102842312735e-05,6.896551892392797e-05,0.15347689078735205,0.019104732285823968,5.1493307087367426e-05,0.7900937591877835,6.605019951082604e-05,3.2530904967577284e-05,2.4599975906753307e-05,6.50195089208134e-05,3.742515028281757e-05,4.8262549016638636e-05,2.6001040448213037e-05,2.0764119814581155e-05,1.112842218772489e-05,1.3365410635884228e-05,1.2690355601981345e-05,1.4355441077363182e-05,1.5489467506947905e-05,1.291989693468718e-05,1.4463407876103242e-05,0.0712604823609277,1.0731916968483559e-05,0.00011812762031230088,GORGIAS,T09\nart justice injustice\nmen rhetoric evil good,0.028169014084507043
T10,things,men,man,art,soul,nature,state,life,way,5.579291923604083,"T10 things, men, man, art, soul, nature, state, life, way",0.10310138087467313,0.6554375813342753,0.9176725581277101,3.172588890563606e-05,2.9239766678386632e-05,1.3912075949159352e-05,3.9936103112916146e-05,6.896551857910604e-05,0.00970770291720525,2.327746793953724e-05,5.149330696032577e-05,0.2097374169490471,6.60501993787193e-05,3.2530904964483486e-05,0.2304046259389453,6.501950707584972e-05,3.742515027589988e-05,4.8262548999439937e-05,2.6001040697646378e-05,2.076411988411618e-05,1.1128422196578653e-05,1.3365410633027739e-05,1.2690355606612503e-05,1.4355441070541084e-05,0.7558705036753034,0.1588891059055423,1.4463407897957942e-05,0.01055451839171621,1.073191698771834e-05,0.00011812761958737776,ALCIBIADES II,T10\nmen man art\nsoul nature state life,0.11267605633802817
T11,taste,eye ear,reach,strike,ability,praise,pray,praises censures,praises,0.0023062407892779756,"T11 taste, eye ear, reach, strike, ability, praise, pray, praises censures, praises",0.0016113178969090164,2.4557956778014413e-05,6.868131868136904e-05,3.172588832488503e-05,2.923976608189222e-05,1.3912075681697937e-05,3.993610223644887e-05,6.896551724140544e-05,5.192107995850005e-05,2.3277467411566853e-05,5.149330587028187e-05,9.379103357726157e-06,6.605019815062116e-05,3.2530904359158376e-05,2.4599975394504873e-05,6.501950585178846e-05,3.7425149700605876e-05,4.826254826255759e-05,2.6001040041613787e-05,2.07641196013358e-05,1.1128421989767508e-05,1.3365410318107633e-05,1.2690355329955394e-05,1.4355440712044751e-05,1.5489467162345554e-05,1.2919896640835599e-05,1.4463407578833116e-05,2.517327784404189e-05,1.0731916720337844e-05,0.00011812761775747537,TIMAEUS,T11\neye ear reach strike\nability praise pray praises censures,
