term_str,n,p,i,n_chars,cat_pos,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,n_pos,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,df,idf,dfidf
socrates,5337,0.0072238667787401,7.113012997522048,8,"{'MD', 'IN', 'NNPS', 'PDT', 'NNP', 'NN', 'POS', 'VBP', 'VBZ', 'NNS', 'VB', 'RB', 'VBN', 'PRP', 'JJ', 'WDT'}",NNP,0,socrat,socrat,socr,16,0.00455252922547949,0.17754863979370014,0.0018158824203360932,0.017515900978264137,39,0.5219527031953558,20.356155424618876
alcibiades,612,0.0008283692090292,10.237438450817711,10,"{'IN', 'NNP', 'NN', 'POS', 'VBP', 'VBZ', 'NNS', 'VB', 'RB'}",NNP,0,alcibiad,alcibiad,alcibiad,9,0.027457666584291177,0.16474599950574706,0.002359270584909416,0.10465703947757134,6,3.222392421336448,19.33435452801869
theaetetus,1100,0.0014888989051178,9.39153848509834,10,"{'IN', 'NNP', 'NN', 'POS', 'VBP', 'VB', 'VBN', 'RB', 'TO'}",NNP,0,theaetetu,theaetetus,theaetet,9,0.04116804951011016,0.16467219804044064,0.030030551767873195,0.103966190008051,4,3.807354922057604,15.229419688230417
protarchus,619,0.0008378440202436,10.2210306942961,10,"{'NNP', 'NN', 'VBZ', 'VB', 'NNS', 'VBN'}",NNP,0,protarchu,protarchus,protarch,6,0.15363504131779027,0.15363504131779027,0.15363504131779027,0.15363504131779027,1,5.807354922057604,5.807354922057604
cleinias,946,0.0012804530584013,9.609129920170968,8,"{'IN', 'PDT', 'NNP', 'NN', 'VB', 'VBN'}",NNP,0,cleinia,cleinia,cleinia,6,0.008231561634382564,0.1399365477845036,0.006392718906870527,0.020605290984307217,17,1.7198920808072646,29.238165373723497
you,9140,0.0123713963570704,6.336847843564931,3,"{'IN', 'CC', 'PDT', 'CD', 'NNP', 'NN', 'POS', 'VBP', 'VBZ', 'VB', 'NNS', 'RB', 'VBN', 'PRP', 'JJ', 'VBG', 'JJR', 'RP'}",PRP,1,you,you,you,18,0.0021507328948131487,0.10753664474065747,0.0018249730806806537,0.006010536389158959,50,0.16349873228287956,8.174936614143977
euthyphro,161,0.0002179206579308,12.163909415395748,9,"{'IN', 'NNP', 'NN', 'VB', 'NNS', 'RB'}",NNP,0,euthyphro,euthyphro,euthyphro,6,0.03237019109605007,0.0971105732881502,0.001058597464817762,0.09572330824169187,3,4.222392421336448,12.667177264009343
hippias,166,0.0002246883802268,12.11978686216344,7,"{'NNP', 'NN', 'VBN'}",NNP,0,hippia,hippia,hippia,3,0.023963132055588327,0.09585252822235331,0.001574302578668525,0.09253987657778899,4,3.807354922057604,15.229419688230417
ion,122,0.0001651324240221,12.564088955947478,3,"{'VB', 'NNP', 'NN'}",NNP,0,ion,ion,ion,3,0.021217630953853938,0.08487052381541575,0.0011309523230140653,0.0823688914951616,4,3.807354922057604,15.229419688230417
meno,255,0.0003451538370955,11.500472856651506,4,"{'PDT', 'NNP', 'NN', 'NNS', 'VBN'}",NNP,0,meno,meno,meno,5,0.02782839133838592,0.08348517401515777,0.0001788012882208955,0.08315289815506509,3,4.222392421336448,12.667177264009343
athenian,950,0.0012858672362381,9.603042590292054,8,"{'IN', 'NNP', 'NN', 'NNS', 'VB', 'RB', 'JJ'}",NNP,0,athenian,athenian,ath,7,0.002487033169630697,0.07461099508892091,0.0002566665936030754,0.011739756821943696,30,0.9004643264490856,27.013929793472567
i,9926,0.0134352823020001,6.217829554213243,1,"{'MD', 'CC', 'CD', 'NNP', 'NN', 'POS', 'VBP', 'NNS', 'VB', 'RB', 'PRP', 'JJ'}",PRP,1,i,i,i,12,0.001423608454170004,0.0740276396168402,0.0013697563612697582,0.004443862386568452,52,0.10691520391651188,5.559590603658618
hermogenes,336,0.0004547909382905,11.102508870731604,10,"{'NNP', 'NN', 'VBP', 'VB', 'VBN'}",NNP,0,hermogen,hermogen,hermog,5,0.03373403176870687,0.06746806353741373,0.03373403176870687,0.06729332687988038,2,4.807354922057604,9.614709844115207
crito,152,0.0002057387577981,12.246898780066775,5,"{'MD', 'IN', 'NNP', 'NN', 'VB', 'NNS', 'VBN'}",NNP,0,crito,crito,crito,7,0.0163991304981119,0.0655965219924476,0.00878330236997848,0.04736219453729289,4,3.807354922057604,15.229419688230417
laches,127,0.0001719001463181,12.506141606738195,6,"{'VB', 'NNP', 'NNS', 'VBZ'}",NNP,0,lach,lach,lach,4,0.029426626947586434,0.05885325389517287,0.029426626947586434,0.058421093258526194,2,4.807354922057604,9.614709844115207
callicles,305,0.0004128310600554,11.242160861060114,9,"{'NNP', 'NN', 'VB', 'NNS', 'VBN', 'RB'}",NNP,0,callicl,callicl,callic,6,0.049436022530005556,0.049436022530005556,0.049436022530005556,0.049436022530005556,1,5.807354922057604,5.807354922057604
stranger,1261,0.0017068195630487,9.194473733182145,8,"{'PDT', 'NNP', 'NN', 'VBP', 'VB', 'NNS', 'RB', 'JJ'}",NNP,0,stranger,stranger,stranger,8,0.0014676650221131966,0.0484329457297355,0.0001781647394798359,0.02042204676800552,33,0.7629608026991507,25.177706489071973
critias,124,0.0001678395129405,12.540629983123488,7,"{'NNP', 'NN'}",NNP,0,critia,critia,critia,2,0.0069930813557122955,0.041958488134273775,0.002836224035492624,0.021593092429089494,6,3.222392421336448,19.33435452801869
