term_str,n,p,i,n_chars,cat_pos,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,n_pos,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,df,idf,dfidf
yes,1751,0.0023700563480558,8.720862925076805,3,"{'NNP', 'POS', 'IN', 'VBP', 'CD', 'PRP', 'VB', 'JJ', 'UH', 'NNS', 'LS', 'NN', 'CC', 'VBZ', 'RB', 'PRP$', 'VBN'}",NNP,0,ye,yes,ye,17,1.226360894764044,2133.8679568894777,0.8802049001485005,3.520819600594002,1740,3.520819600594002,6126.226105033564
true,2218,0.0030021616105013,8.379782643348653,4,"{'NNP', 'IN', 'VBP', 'VBG', 'JJ', 'VB', 'VBD', 'NNS', 'NN', 'VBZ', 'RB', 'VBN'}",JJ,0,true,true,tru,12,0.9690679930145971,2001.1254055751479,0.8184412812558212,3.2737651250232847,2065,3.2737651250232847,6760.324983173083
certainly,1240,0.0016783951294056,9.218701888236126,9,"{'NNP', 'POS', 'VBP', 'JJ', 'VB', 'VBD', 'NN', 'VBZ', 'RB', 'VBN'}",NNP,0,certainli,certain,certain,10,1.5956509950411792,1969.033327880785,1.338854837393558,4.016564512180675,1234,4.016564512180675,4956.440608030953
theaetetus,1100,0.0014888989051178,9.39153848509834,10,"{'NNP', 'IN', 'POS', 'VBP', 'VB', 'TO', 'NN', 'RB', 'VBN'}",NNP,0,theaetetu,theaetetus,theaetet,9,1.1019066189819893,1203.2820279283358,1.04823351260256,2.09646702520512,1092,4.19293405041024,4578.683983047982
cleinias,946,0.0012804530584013,9.609129920170968,8,"{'NNP', 'IN', 'PDT', 'VB', 'NN', 'VBN'}",NNP,0,cleinia,cleinia,cleinia,6,0.9598045005028503,892.618185467649,0.8849208570669398,2.2123021426673493,930,4.4246042853346985,4114.8819853612695
alcibiades,612,0.0008283692090292,10.237438450817711,10,"{'NNP', 'IN', 'VBP', 'POS', 'VB', 'NNS', 'NN', 'VBZ', 'RB'}",NNP,0,alcibiad,alcibiad,alcibiad,9,1.4379131162966816,858.434130429113,1.6880346900217624,2.5320520350326436,597,5.064104070065287,3023.2701298289767
the,44525,0.0602665670457944,4.05249830263402,3,"{'NNP', 'POS', 'VBP', 'PRP', 'CD', 'JJ', 'VB', 'NNS', 'NN', 'VBZ', 'FW', 'DT'}",DT,1,the,the,the,12,0.09008683786732864,840.1498499507027,0.077731319347255,0.549324238495099,9326,1.098648476990198,10245.995696410588
he,9117,0.0123402648345088,6.340482833266913,2,"{'NNP', 'POS', 'VBP', 'PRP', 'CD', 'PDT', 'JJ', 'VB', 'VBD', 'NNS', 'NN', 'CC', 'VBZ', 'PRP$', 'VBN'}",PRP,1,he,he,he,15,0.20485962688646425,825.7891559793417,0.11354602246618097,1.1543845617395065,4031,2.308769123479013,9306.648336743901
i,9926,0.0134352823020001,6.217829554213243,1,"{'NNP', 'POS', 'VBP', 'MD', 'CD', 'PRP', 'VB', 'JJ', 'NNS', 'NN', 'CC', 'RB'}",PRP,1,i,i,i,12,0.160327629205397,777.909656904586,0.09957694420534548,1.020663678104791,4852,2.041327356209582,9904.520332328893
protarchus,619,0.0008378440202436,10.2210306942961,10,"{'NNP', 'VB', 'NNS', 'NN', 'VBZ', 'VBN'}",NNP,0,protarchu,protarchus,protarch,6,1.2479528657540242,771.2348710359894,1.2535570408564296,2.507114081712859,618,5.014228163425718,3098.793004997094
