term_str,n,p,i,n_chars,cat_pos,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,n_pos
1,38,5.1434689449527006e-05,14.246898780066777,1,"{'PDT', 'CD', 'NNP', 'NN', 'VBZ', 'VB', 'NNS'}",CD,0,1,1,1,7
10,1,1.3535444591980791e-06,19.494826293510364,2,{'CD'},CD,0,10,10,10,1
100,13,1.7596077969575026e-05,15.794386575369272,3,{'CD'},CD,0,100,100,100,1
10000,1,1.3535444591980791e-06,19.494826293510364,5,{'CD'},CD,0,10000,10000,10000,1
11,1,1.3535444591980791e-06,19.494826293510364,2,{'CD'},CD,0,11,11,11,1
12,4,5.4141778367923166e-06,17.494826293510364,2,{'CD'},CD,0,12,12,12,1
120,2,2.7070889183961583e-06,18.494826293510364,3,{'CD'},CD,0,120,120,120,1
1248,2,2.7070889183961583e-06,18.494826293510364,4,{'CD'},CD,0,1248,1248,1248,1
13927,2,2.7070889183961583e-06,18.494826293510364,5,{'CD'},CD,0,13927,13927,13927,1
151,1,1.3535444591980791e-06,19.494826293510364,3,{'CD'},CD,0,151,151,151,1
163,2,2.7070889183961583e-06,18.494826293510364,3,{'CD'},CD,0,163,163,163,1
17500,1,1.3535444591980791e-06,19.494826293510364,5,{'CD'},CD,0,17500,17500,17500,1
18,2,2.7070889183961583e-06,18.494826293510364,2,{'CD'},CD,0,18,18,18,1
180,1,1.3535444591980791e-06,19.494826293510364,3,{'CD'},CD,0,180,180,180,1
1a,1,1.3535444591980791e-06,19.494826293510364,2,{'CD'},CD,0,1a,1a,1a,1
1aa,1,1.3535444591980791e-06,19.494826293510364,3,{'CD'},CD,0,1aa,1aa,1aa,1
1b,1,1.3535444591980791e-06,19.494826293510364,2,{'CD'},CD,0,1b,1b,1b,1
1bb,1,1.3535444591980791e-06,19.494826293510364,3,{'CD'},CD,0,1bb,1bb,1bb,1
2,38,5.1434689449527006e-05,14.246898780066777,1,"{'IN', 'CD', 'NNP', 'NN', 'VBP', 'VBD'}",CD,0,2,2,2,6
20,5,6.7677222959903955e-06,17.172898198623002,2,"{'CD', 'NNS', 'NNP'}",CD,0,20,20,20,3
21,2,2.7070889183961583e-06,18.494826293510364,2,{'CD'},CD,0,21,21,21,1
216,1,1.3535444591980791e-06,19.494826293510364,3,{'CD'},CD,0,216,216,216,1
243,1,1.3535444591980791e-06,19.494826293510364,3,{'CD'},CD,0,243,243,243,1
24325681644324312828132832436448116163242328,1,1.3535444591980791e-06,19.494826293510364,44,{'CD'},CD,0,24325681644324312828132832436448116163242328,24325681644324312828132832436448116163242328,24325681644324312828132832436448116163242328,1
256,1,1.3535444591980791e-06,19.494826293510364,3,{'CD'},CD,0,256,256,256,1
256243,1,1.3535444591980791e-06,19.494826293510364,6,{'CD'},CD,0,256243,256243,256243,1
27,11,1.488898905117887e-05,16.035394674873068,2,"{'CD', 'NNP', 'NN'}",CD,0,27,27,27,3
2700,1,1.3535444591980791e-06,19.494826293510364,4,{'CD'},CD,0,2700,2700,2700,1
272,2,2.7070889183961583e-06,18.494826293510364,3,{'CD'},CD,0,272,272,272,1
274575125,1,1.3535444591980791e-06,19.494826293510364,9,{'CD'},CD,0,274575125,274575125,274575125,1
2a,1,1.3535444591980791e-06,19.494826293510364,2,{'CD'},CD,0,2a,2a,2a,1
2aa,1,1.3535444591980791e-06,19.494826293510364,3,{'CD'},CD,0,2aa,2aa,2aa,1
2b,1,1.3535444591980791e-06,19.494826293510364,2,{'CD'},CD,0,2b,2b,2b,1
2bb,1,1.3535444591980791e-06,19.494826293510364,3,{'CD'},CD,0,2bb,2bb,2bb,1
3,33,4.466696715353661e-05,14.45043217415191,1,"{'CD', 'NNP', 'NN', 'NNS', 'VB', 'JJ'}",CD,0,3,3,3,6
30,2,2.7070889183961583e-06,18.494826293510364,2,{'CD'},CD,0,30,30,30,1
300,2,2.7070889183961583e-06,18.494826293510364,3,{'CD'},CD,0,300,300,300,1
32,9,1.2181900132782712e-05,16.324901292068052,2,{'CD'},CD,0,32,32,32,1
360,2,2.7070889183961583e-06,18.494826293510364,3,{'CD'},CD,0,360,360,360,1
365,1,1.3535444591980791e-06,19.494826293510364,3,{'CD'},CD,0,365,365,365,1
4,25,3.383861147995198e-05,14.850970103735639,1,"{'IN', 'CD', 'NNP', 'NN', 'JJ'}",CD,0,4,4,4,5
40,1,1.3535444591980791e-06,19.494826293510364,2,{'CD'},CD,0,40,40,40,1
400,2,2.7070889183961583e-06,18.494826293510364,3,"{'CD', 'NN'}",CD,0,400,400,400,2
406,1,1.3535444591980791e-06,19.494826293510364,3,{'CD'},CD,0,406,406,406,1
43,9,1.2181900132782712e-05,16.324901292068052,2,{'CD'},CD,0,43,43,43,1
49,1,1.3535444591980791e-06,19.494826293510364,2,{'CD'},CD,0,49,49,49,1
4900,2,2.7070889183961583e-06,18.494826293510364,4,{'CD'},CD,0,4900,4900,4900,1
5,8,1.0828355673584633e-05,16.494826293510364,1,"{'IN', 'CC', 'CD', 'NN', 'NNS'}",CD,0,5,5,5,5
50,3,4.060633377594237e-06,17.909863792789206,2,{'CD'},CD,0,50,50,50,1
500000,1,1.3535444591980791e-06,19.494826293510364,6,{'CD'},CD,0,500000,500000,500000,1
5040,13,1.7596077969575026e-05,15.794386575369272,4,"{'CD', 'NN'}",CD,0,5040,5040,5040,2
504021,1,1.3535444591980791e-06,19.494826293510364,6,{'JJ'},JJ,0,504021,504021,504021,1
5040420,1,1.3535444591980791e-06,19.494826293510364,7,{'CD'},CD,0,5040420,5040420,5040420,1
5040th,1,1.3535444591980791e-06,19.494826293510364,6,{'JJ'},JJ,0,5040th,5040th,5040th,1
6,14,1.8949622428773105e-05,15.687471371452759,1,"{'CD', 'IN', 'NN'}",CD,0,6,6,6,3
65,1,1.3535444591980791e-06,19.494826293510364,2,{'CD'},CD,0,65,65,65,1
7,3,4.060633377594237e-06,17.909863792789206,1,"{'CD', 'NN', 'JJ'}",CD,0,7,7,7,3
700,2,2.7070889183961583e-06,18.494826293510364,3,{'CD'},CD,0,700,700,700,1
729,2,2.7070889183961583e-06,18.494826293510364,3,"{'CD', 'RB'}",CD,0,729,729,729,2
75,1,1.3535444591980791e-06,19.494826293510364,2,{'CD'},CD,0,75,75,75,1
8,13,1.7596077969575026e-05,15.794386575369272,1,"{'CD', 'NNP', 'NN', 'VBD'}",CD,0,8,8,8,4
800,1,1.3535444591980791e-06,19.494826293510364,3,{'CD'},CD,0,800,800,800,1
8000,2,2.7070889183961583e-06,18.494826293510364,4,{'CD'},CD,0,8000,8000,8000,1
83,2,2.7070889183961583e-06,18.494826293510364,2,{'CD'},CD,0,83,83,83,1
9,12,1.6242533510376947e-05,15.909863792789208,1,"{'CD', 'NNP'}",CD,0,9,9,9,2
9000,2,2.7070889183961583e-06,18.494826293510364,4,{'CD'},CD,0,9000,9000,9000,1
92,2,2.7070889183961583e-06,18.494826293510364,2,{'CD'},CD,0,92,92,92,1
98,3,4.060633377594237e-06,17.909863792789206,2,{'CD'},CD,0,98,98,98,1
98these,1,1.3535444591980791e-06,19.494826293510364,7,{'CD'},CD,0,98these,98these,98these,1
a,11450,0.015498084057818004,6.0117663156386945,1,"{'UH', 'IN', 'CC', 'PDT', 'DT', 'CD', 'NNP', 'POS', 'VBP', 'RBR', 'JJ'}",DT,1,a,a,a,11
abandon,1,1.3535444591980791e-06,19.494826293510364,7,{'VBP'},VBP,0,abandon,abandon,abandon,1
abandoning,1,1.3535444591980791e-06,19.494826293510364,10,{'VBG'},VBG,0,abandon,abandon,abandon,1
abaris,1,1.3535444591980791e-06,19.494826293510364,6,{'NNP'},NNP,0,abari,abari,ab,1
abate,3,4.060633377594237e-06,17.909863792789206,5,"{'VB', 'NN'}",NN,0,abat,abat,ab,2
abated,2,2.7070889183961583e-06,18.494826293510364,6,"{'NN', 'VBN'}",NN,0,abat,abat,ab,2
abates,2,2.7070889183961583e-06,18.494826293510364,6,{'NN'},NN,0,abat,abat,ab,1
abdera,2,2.7070889183961583e-06,18.494826293510364,6,{'NNP'},NNP,0,abdera,abdera,abder,1
aberration,1,1.3535444591980791e-06,19.494826293510364,10,{'NN'},NN,0,aberr,aberr,aber,1
abhor,1,1.3535444591980791e-06,19.494826293510364,5,{'NN'},NN,0,abhor,abhor,abh,1
abhorrence,2,2.7070889183961583e-06,18.494826293510364,10,{'NN'},NN,0,abhorr,abhorr,abhor,1
abhorring,1,1.3535444591980791e-06,19.494826293510364,9,{'VBG'},VBG,0,abhor,abhor,abhor,1
abhors,4,5.4141778367923166e-06,17.494826293510364,6,"{'NNS', 'VBZ'}",VBZ,0,abhor,abhor,abh,2
abide,17,2.3010255806367345e-05,15.407363452260023,5,"{'VB', 'NN', 'RB', 'VBP'}",VB,0,abid,abid,abid,4
abides,6,8.121266755188474e-06,16.909863792789206,6,"{'NNS', 'NN', 'VB', 'VBZ'}",VBZ,0,abid,abid,abid,4
abiding,13,1.7596077969575026e-05,15.794386575369272,7,"{'VBG', 'NN', 'JJ', 'VBZ'}",VBG,0,abid,abid,abid,4
abilities,1,1.3535444591980791e-06,19.494826293510364,9,{'NN'},NN,0,abil,abil,abl,1
ability,22,2.977797810235774e-05,15.035394674873066,7,"{'NNS', 'NN'}",NN,0,abil,abil,abl,2
abject,1,1.3535444591980791e-06,19.494826293510364,6,{'JJ'},JJ,0,abject,abject,abject,1
able,454,0.0006145091844759279,10.668277806219448,4,"{'NNP', 'RB', 'VBN', 'JJ'}",JJ,0,abl,abl,abl,4
